Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Lead Speed (m/s),Ego Accel (m/s²),Lead Accel (m/s²),Smooth Accel (m/s²),Jerk (m/s³) (1 Hz),RSS Distance (m)
0.0,0.0031620301934967,8.820000171661377,8.820000171661377,31.26235275045232,0.0,0.0,106.74299621582033,133.0,138.0,133.43099975585938,0.00087834172041575,2.450000047683716,,,,,0.0
0.05,0.1711797852635323,10.584000205993652,9.702000188827515,31.25895346152997,0.002021792492799,0.1372000128030777,106.74500274658205,133.0,138.0,133.43099975585938,0.047549940350981194,2.940000057220459,0.9334319726113088,9.800000190734863,,,0.0
0.1,0.5858220752148986,10.747439861297607,10.05048007965088,31.254107725605028,0.0060396790350826,0.2925903052091598,106.7490005493164,133.0,138.0,133.43099975585938,0.16272835422636073,2.9853999614715576,2.3035682775075905,0.9079980850219727,,,0.0
0.15,1.1540213876341547,0.4725036263471028,7.655985966324935,31.24108516360045,0.0190840011901189,0.295502707362175,106.76200103759766,133.00100708007812,138.0,133.43099975585938,0.32056149656504296,0.13125100731863967,3.1566628467736453,-57.08297908305837,,,0.0462796838924209
0.2,1.535134098094539,0.6029029141074258,6.245369355881433,31.222060733662957,0.0381104168047896,0.3007466048002243,106.78099822998048,133.0019989013672,138.0,133.43099975585938,0.42642613835959414,0.16747303169650715,2.117292835891023,0.7244404875573494,,,0.08242440589965062
0.25,0.0130973494593983,0.5632211155051592,5.298344649152054,31.21404381739832,0.0461472243050795,0.3056117072701454,106.78900146484376,133.0019989013672,138.0,133.43099975585938,0.0036381526276106388,0.1564503098625442,-8.455759714639672,-0.22045443667925885,,,0.0
0.3,0.0099055939098135,0.5286753848268222,4.616963325677021,31.21403090692485,0.0469647143481981,0.3101555034518242,106.78900146484376,133.0019989013672,138.0,133.43099975585938,0.0027515538638370834,0.14685427356300615,-0.01773197527547111,-0.19192072599076132,,,0.0
0.35,0.2483631367508074,0.4962251308317481,4.101871051321361,31.213020710906875,0.0481271357106824,0.3143917024135589,106.79000091552734,133.0019989013672,138.0,133.43099975585938,0.06898976020855761,0.13784031411993003,1.3247641268944108,-0.18027918886152242,,,0.0
0.4,0.5667386433733231,0.4658134431820998,3.697864650416999,31.20600853968615,0.0541356074855166,0.3184615720521612,106.7959976196289,133.0019989013672,137.99899291992188,133.43099975585938,0.1574274009370342,0.12939262310613883,1.7687528145695302,-0.1689538202758238,,,0.007126731113339827
0.45,0.0054250233275386,0.43733172806559,3.3718113581818585,31.20400179847809,0.05617870682635,0.322128472150485,106.7979965209961,133.0019989013672,137.99899291992188,133.43099975585938,0.0015069509243162776,0.121481035573775,-3.1184090002543594,-0.15823175064727665,-0.35590609177005667,,0.0
0.5,0.0038962431984342,0.4106739219289027,2.5308787332086107,31.20399489680423,0.0565249668552412,0.3255360734175844,106.7979965209961,133.0019989013672,137.99899291992188,133.43099975585938,0.0010822897773428333,0.11407608942469519,-0.008493222939468888,-0.1480989229815963,-0.3212499080823041,,0.0
0.55,0.0027402072537095,0.3857660503383566,1.5110553176430814,31.204988372267053,0.0575538676891886,0.3287024733137293,106.7969970703125,133.0019989013672,137.99899291992188,133.43099975585938,0.0007611686815859722,0.10715723620509905,-0.006422421915137215,-0.1383770643919226,-0.24901481620596533,,0.0
0.6000000000000001,0.0018752132385949,0.362505058509721,0.4725618373642928,31.20399161228504,0.0577205317056217,0.3318071586479076,106.7969970703125,133.0019989013672,137.9980010986328,133.43099975585938,0.0005208925662763611,0.1006958495860336,-0.004805522306192219,-0.1292277323813089,-0.15037904115259465,,0.0
0.65,0.0012376599055114,0.3408122098459201,0.4593926957141746,31.203987278236863,0.0578294816621058,0.3345422593344577,106.7969970703125,133.0019989013672,137.9980010986328,133.43099975585938,0.00034379441819761106,0.09467005829053335,-0.0035419629615750054,-0.1205158259100052,-0.06996545598838959,,0.0
0.7000000000000001,0.0007790179706909,0.3206115637520202,0.431163560678634,31.203983524951884,0.0578966516729855,0.3370879588116535,106.7969970703125,133.0019989013672,137.9980010986328,133.43099975585938,0.00021639388074747221,0.0890587677088945,-0.0025480107490027746,-0.11222581163277696,-0.025708652282351658,,0.0
0.75,0.0004609680581568,0.7476175753960235,0.4496032066677203,31.214980427282477,0.0579343417155035,0.3484047900796381,106.7969970703125,133.0019989013672,138.00900268554688,133.43099975585938,0.00012804668282133332,0.20767154872111762,-0.0017669439585227802,2.3722556202444656,-0.008156503144638054,,0.0
