Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Lead Speed (m/s),Ego Accel (m/s²),Lead Accel (m/s²),Smooth Accel (m/s²),Jerk (m/s³) (1 Hz),RSS Distance (m)
0.0,0.0093923703350987,8.820000171661377,8.820000171661377,21.007794999900312,0.0,0.0,107.0,133.0,128.0,133.427001953125,0.002608991759749639,2.450000047683716,,,,,0.0
0.05,0.008034125654943,10.584000205993652,9.702000188827515,21.00575360376558,0.0001199719845317,0.1372000128030777,107.0,133.0,128.0,133.427001953125,0.0022317015708175,2.940000057220459,-0.0075458037786427755,9.800000190734863,,,0.0
0.1,0.0066679965620801,10.747439861297607,10.05048007965088,21.004525666589807,0.0002208329970017,0.2925903052091598,107.0,133.0,128.0,133.427001953125,0.0018522212672444722,2.9853999614715576,-0.007589606071460556,0.9079980850219727,,,0.0
0.15,0.0019065893935567,7.768655776977541,9.480024003982544,21.004372320456763,0.0002515409723855,0.417107805609703,107.0,133.0,128.0,133.427001953125,0.0005296081648768611,2.157959938049317,-0.02645226204735223,-16.54880046844482,,,0.0
0.2,0.0029814600187049,4.894776105880743,8.562974424362185,21.00468419261988,0.0002882769913412,0.5007720068097115,107.0,133.0,128.0,133.427001953125,0.0008281833385291389,1.3596600294113175,0.0059715034730455545,-15.965998172759983,,,0.0
0.25,0.0032674874787614,0.2858883018613525,7.183460070612045,21.004867774270995,0.0003329470055177,0.5294070094823837,107.0,133.0,128.0,133.427001953125,0.0009076354107670555,0.07941341718370902,0.0015890414447583333,-25.604932244552174,,,0.0
0.3,0.0031306551013227,1.2601333397479657,6.337270537631462,21.004783893045538,0.0003777699894271,0.5418060123920441,107.0,133.0,128.0,133.427001953125,0.0008696264170340833,0.3500370388188794,-0.0007601798746594438,5.412472432703408,,,0.0
0.35,0.0027991059253335,1.81846296546511,5.772419591110668,21.004649976286142,0.0004188159946352,0.5643130168318748,107.0,133.0,128.0,133.427001953125,0.0007775294237037499,0.5051286015180861,-0.0018419398666066687,3.101831253984136,,,0.0
0.4,0.0023951930825446,2.0269728720120805,5.356258844544159,21.004519631308348,0.000454525987152,0.5916373133659363,107.0,133.0,128.0,133.427001953125,0.0006653314118179445,0.5630480200033557,-0.0022439602377161074,1.158388369705391,,,0.0
0.45,0.0019878131530247,1.9688721142311905,5.017520171512862,21.004422977156832,0.0004845059593208,0.619582012295723,107.0,133.0,128.0,133.427001953125,0.0005521703202846388,0.5469089206197751,-0.0022632218306661133,-0.3227819876716121,-0.0022440246770157827,,0.0
0.5,0.0016120487914159,1.7295322128948023,4.308473375636204,21.004367054517,0.0005090359481982,0.6451398134231567,107.0,133.0,128.0,133.427001953125,0.0004477913309488611,0.4804256146930006,-0.0020875797867155547,-1.329666118535491,-0.0023013455310422724,,0.0
0.55,0.0002432203660498,1.387136416372912,3.38878699667413,21.004344155918997,0.0005221160245127,0.6664419136941433,107.0,133.0,128.0,133.427001953125,6.756121279161111e-05,0.3853156712146978,-0.0076046023631449935,-1.9021988695660546,-0.001985182510852312,,0.0
0.6000000000000001,0.0005575358554736,1.00696340226384,2.4147393507707533,21.00434117991674,0.0005284860380925,0.6826074030250311,107.0,133.0,128.0,133.427001953125,0.0001548710709648889,0.27971205618440004,0.001746197163465554,-2.112072300605953,-0.0013932098569153146,,0.0
0.65,0.0006714724248701,0.6386228197041549,1.701736055043415,21.004346207824085,0.0005374160245992,0.6935362126678228,107.0,133.0,128.0,133.427001953125,0.00018652011801947223,0.1773952276955986,0.0006329809410916677,-2.0463365697760314,-0.0007921687757891504,,0.0
0.7000000000000001,0.0006725702748002,0.3157479828586211,1.2438332427412029,21.00435153050406,0.0005469159805215,0.6996878124773502,107.0,133.0,128.0,133.427001953125,0.00018682507633338888,0.08770777301628364,6.099166278333081e-06,-1.7937490935862974,-0.0004111259634704899,,0.0
0.75,0.0006143150814571,0.05750502296999,1.220994914852067,21.004353840194035,0.0005558760021813,0.7018666137009859,107.0,133.0,128.0,133.427001953125,0.00017064307818252778,0.01597361749166389,-0.0003236399630172225,-1.4346831104923972,-0.00028995498465024365,,0.0
0.8,0.0005334016254313,0.1299309308164235,1.1079746739589125,21.00435292323105,0.0005637759459204,0.7026952132582664,107.0,133.0,128.0,133.427001953125,0.00014816711817536112,0.03609192522678431,-0.00044951920014333285,0.40236615470240805,-0.0003227996129381819,,0.0
0.8500000000000001,0.0004465514839671,0.2480891869571828,0.9509372961081196,21.004350038233657,0.0005705259391106,0.7055501136928797,107.0,133.0,128.0,133.427001953125,0.00012404207887975,0.06891366304366188,-0.000482500785912222,0.6564347563375508,-0.00039166401184137826,,0.0
0.9,0.00036563784905,0.3060027106067041,0.7788402799675821,21.00434666347578,0.0005760959465987,0.7095385137945414,107.0,133.0,128.0,133.427001953125,0.00010156606918055555,0.08500075294630668,-0.00044952019398388946,0.32174179805289654,-0.00043170674287645807,,0.0
0.95,0.0002943701372095,0.3157817409178542,0.6135312426362485,21.004343832706823,0.0005805160035379,0.7139195138588548,107.0,133.0,128.0,133.427001953125,8.176948255819445e-05,0.0877171502549595,-0.00039593173244722264,0.05432794617305649,-0.0004190473856502769,,0.0
1.0,9.660192132803966e-05,0.2907933096774358,0.4696573523145118,21.00434197510602,0.0005805160035379,0.718133844435215,107.0,133.0,128.0,133.427001953125,2.683386703556657e-05,0.08077591935484327,-0.0010987123104525566,-0.13882461800232465,-0.00035202645771826874,,0.0
1.05,0.0001369380573219,0.2439281747956329,0.3553365281567839,21.004341045498737,0.0005830759764648,0.7218057243153453,107.0,133.0,128.0,133.427001953125,3.803834925608333e-05,0.06775782633212024,0.00022408964441033492,-0.2603618604544603,-0.0002525406519658148,,0.0
1.1,0.0001421558190689,0.186433266810001,0.2732835146114,21.004340765062768,0.0005850259331054,0.724726514192298,107.0,133.0,128.0,133.427001953125,3.948772751913889e-05,0.051787018558333606,2.8987565261111205e-05,-0.31941615547573243,-0.0001592810935778872,,0.0
1.15,0.0001366286998952,0.1272837163623809,0.2221496042772227,21.00434081472015,0.0005869659944437,0.7268254791852087,107.0,133.0,128.0,133.427001953125,3.7952416637555557e-05,0.035356587878439136,-3.070621763166676e-05,-0.32860861359789056,-0.0001024352417284064,,0.0
1.2000000000000002,0.0001184348233096,0.0729412804594487,0.1978689340373054,21.004340952361613,0.0005887559964321,0.7281359841581434,107.0,133.0,128.0,133.427001953125,3.2898562030444444e-05,0.020261466794291305,-0.0001010770921422217,-0.301902421682955,-8.478014132574836e-05,,0.0
1.25,9.907320922293128e-05,0.0274467359871494,0.1948631053390213,21.004341047003688,0.0005902459961362,0.7287610941566527,107.0,133.0,128.0,133.427001953125,2.7520335895258687e-05,0.007624093329763722,-0.00010756452270371552,-0.2527474692905526,-8.940339587527685e-05,,0.0
1.3,8.24926032683597e-05,0.0072446889797028,0.1825944811553493,21.00434106081976,0.0005914660287089,0.7288421541452408,107.0,133.0,128.0,133.427001953125,2.2914612018988804e-05,0.002012413605473,-9.21144775253976e-05,-0.11223359448581434,-9.745864619939877e-05,,0.0
1.35,6.769662447101015e-05,0.0308580269590826,0.1608713651555393,21.00434101079249,0.0005924959550611,0.7291509541682899,107.0,133.0,128.0,133.427001953125,1.880461790861393e-05,0.008571674155300722,-8.219988220749742e-05,0.1311852109965543,-9.662682118685408e-05,,0.0
1.4,1.4147389843236238e-05,0.0,0.1302710940948688,21.00434101079249,0.0005924959550611,0.7291509541682899,107.0,133.0,128.0,133.427001953125,3.929830512010066e-06,0.0,-0.0002974957479320783,-0.17143348310601503,-8.218142317821886e-05,,1.0078673828079468e-06
1.4500000000000002,2.488856135012249e-05,0.0,0.0986929200030834,21.00434101079249,0.0005924959550611,0.7291509541682899,107.0,133.0,128.0,133.427001953125,6.913489263922913e-06,0.0,5.967317503825663e-05,0.0,-5.782566055862518e-05,,1.0138508766947468e-06
1.5,2.866488900165871e-05,0.0,0.0696135890353398,21.00434101097102,0.0005936460220254,0.7291509541682899,107.0,133.0,128.0,133.427001953125,7.96246916712742e-06,0.0,2.0979598064090195e-05,0.0,-3.360619426709208e-05,,1.0159566387918737e-06
1.55,2.948856076843122e-05,0.0,0.0452207715557765,21.00434101097102,0.0005936460220254,0.7291509541682899,107.0,133.0,128.0,133.427001953125,8.191266880119783e-06,0.0,4.575954259847274e-06,0.0,-1.8312880708734325e-05,,1.0164160821867905e-06
1.6,2.6433223617569437e-05,0.0,0.0265774448747764,21.00434101097102,0.0005936460220254,0.7291509541682899,107.0,133.0,128.0,133.427001953125,7.34256211599151e-06,0.0,-1.6974095282565445e-05,0.0,0.00031148261009073696,,1.0147120808411967e-06
1.65,2.272737348564101e-05,0.0,0.0138490732385383,21.004341011148057,0.0005947859608568,0.7291509541682899,107.0,133.0,128.0,133.427001953125,6.313159301566947e-06,0.0,-2.0588056288491344e-05,0.0,0.0024690644792837806,,1.0126462465933175e-06
1.7000000000000002,1.93615949309871e-05,0.0,0.0065549451925934,21.004341011148057,0.0005947859608568,0.7291509541682899,107.0,133.0,128.0,133.427001953125,5.378220814163083e-06,0.0,-1.8698769748077168e-05,0.0,0.013388547779023064,,1.010770904257889e-06
1.75,1.9121990112789813e-05,0.0,0.0038102715938785,21.004341011148057,0.0005947859608568,0.7291509541682899,107.0,133.0,128.0,133.427001953125,5.3116639202193924e-06,0.0,-1.3311378788738244e-06,0.0,0.05651255948503303,,1.0106374347272394e-06
1.8,0.0,0.0,0.0030858026959082,21.004341011148057,0.0005947859608568,0.7291509541682899,107.0,133.0,128.0,133.427001953125,0.0,0.0,-0.00010623327840438776,0.0,0.18877406511997427,,1e-06
1.85,7.896513598296737e-06,0.0,0.0,21.004341011148057,0.0005947859608568,0.7291509541682899,107.0,133.0,128.0,133.427001953125,2.193475999526871e-06,0.0,4.386951999053738e-05,0.0,0.502303641434053,,1.0043893576675339e-06
1.9,7.449910229685349e-06,0.0,0.0,21.004341011148057,0.0005947859608568,0.7291509541682899,107.0,133.0,128.0,133.427001953125,2.06941950824593e-06,0.0,-2.4811298256188282e-06,0.0,1.0720579604724378,,1.0041409802650424e-06
1.95,4.532104498186626e-06,0.0,0.0,21.004341011148057,0.0005947859608568,0.7291509541682899,107.0,133.0,128.0,133.427001953125,1.2589179161629517e-06,0.0,-1.6210031841659557e-05,0.0,1.8511640333065085,,1.0025186282694856e-06
2.0,0.874603466541251,0.0,0.0,20.99934477139419,0.0055936574814414,0.7291509541682899,107.00499725341795,133.0,128.0,133.427001953125,0.2429454073725697,0.0,4.858882969093067,0.0,2.6153191092368324,2.6156711356945506,0.02999812629645706
2.0500000000000003,1.855108874122539,0.0166620198688731,0.0016662019868873,20.978324827067876,0.0266254885499683,0.7294518541311845,107.0260009765625,133.00100708007812,128.0,133.427001953125,0.5153080205895941,0.00462833885246475,5.4472522643404595,0.0925667770492945,3.0680635206515237,,0.13379565357631756
2.1,2.564490093187785,0.0214159158602733,0.0038077935729146,20.94631354179152,0.0586417907221457,0.7296443041414022,107.05799865722656,133.0019989013672,128.0,133.427001953125,0.7123583592188292,0.005948865516742584,3.941006772584715,0.026410533285556773,3.047380970269586,,0.2551411363592634
2.15,2.989767427848092,0.0200251974074887,0.0058103133136635,20.90628029693706,0.0986943023412238,0.7298362241126597,107.0979995727539,133.00399780273438,128.0,133.427001953125,0.8304909521800256,0.005562554835413528,2.362651859223936,-0.00772621362658114,2.630079566935252,,0.34650927872537046
2.2,3.3056587367428656,0.018869107408115,0.007697224054475,20.86225015013764,0.1427390184410885,0.7300365341361612,107.14199829101562,133.00599670410156,128.0,133.427001953125,0.9182385379841294,0.005241418724476389,1.7549517160820667,-0.006422722218742753,2.043712774072004,,0.4234093259055022
2.25,3.471876461189529,0.0178666352166983,0.0094838875761448,20.814215453190293,0.190784866277081,0.7302507241256535,107.19000244140624,133.00799560546875,128.0,133.427001953125,0.9644101281082025,0.004962954226860639,0.9234318024814658,-0.005569289952315016,1.5065322739998708,,0.4669650575501702
2.3000000000000003,3.604705012765948,0.0170247554813242,0.0111863631242772,20.76418994258836,0.2398215979510287,0.7312766997373191,107.23899841308594,133.00999450683594,127.9990005493164,133.427001953125,1.001306947990541,0.004729098744812277,0.7379363976467662,-0.004677109640967215,1.1407495457139278,,0.5033039611514009
2.35,3.691807615631588,0.0163145159588728,0.0128178147201645,20.714156854203768,0.289864671204856,0.7315272487347474,107.28900146484376,133.01199340820312,127.9990005493164,133.427001953125,1.025502115453219,0.004531809988575777,0.48390334925356,-0.003945775124730013,0.9763315157502113,,0.5278724528631624
2.4000000000000004,3.835088375816181,0.0156994241504627,0.0143877571352108,20.661105955237336,0.3429513961592142,0.7317966047438321,107.34200286865234,133.01499938964844,127.9990005493164,133.427001953125,1.0653023266156059,0.004360951152906306,0.7960042232477351,-0.00341717671338941,0.9854512285970116,,0.5695597889012232
