Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Lead Speed (m/s),Ego Accel (m/s²),Lead Accel (m/s²),Smooth Accel (m/s²),Jerk (m/s³) (1 Hz),RSS Distance (m)
0.0,1.162260312900871e-05,7.056000137329102,7.056000137329102,41.005280835203536,0.0,0.0,107.0,133.0,148.0,133.43600463867188,3.2285008691690857e-06,1.9600000381469727,,,,,0.0
0.05,0.0008614836360776,8.820000171661377,7.938000154495239,41.00408104782307,7.779919542372227e-06,0.1126999855041503,107.0,133.0,148.0,133.43600463867188,0.00023930101002155556,2.450000047683716,0.004721450183047729,9.800000190734863,,,0.0
0.1,0.0012268121620345,10.584000205993652,8.820000171661377,41.00303846386711,2.326990943402052e-05,0.2498999983072281,107.0,133.0,148.0,133.43600463867188,0.00034078115612069446,2.940000057220459,0.002029602921982778,9.800000190734863,,,0.0
0.15,0.0005738406804431,10.747439861297607,9.301860094070436,41.00241190351435,3.051990643143654e-05,0.4052902907133102,107.0,133.0,148.0,133.43600463867188,0.00015940018901197222,2.9853999614715576,-0.0036276193421744454,0.9079980850219729,,,0.0
0.2,0.0009538610466652,7.768655776977541,8.995219230651855,41.00233479545712,4.2149913497269154e-05,0.5298077911138535,107.0,133.0,148.0,133.43600463867188,0.00026496140185144445,2.157959938049317,0.002111224256789444,-16.54880046844481,,,0.0
0.25,0.0010632690332048,4.894776105880743,8.311812043190004,41.00249532090591,5.667994264513254e-05,0.6134719923138618,107.0,133.0,148.0,133.43600463867188,0.00029535250922355555,1.3596600294113175,0.000607822147442222,-15.96599817275999,,,0.0
0.3,0.0010279783386328,0.2858883018613525,7.165251508714483,41.00258942655135,7.14099733158946e-05,0.6421069949865341,107.0,133.0,148.0,133.43600463867188,0.0002855495385091111,0.07941341718370902,-0.00019605941428888857,-25.604932244552174,,,0.0
0.35,0.0009201513505338,1.2601333397479657,6.427111737593667,41.002546159679866,8.502998389303684e-05,0.6545059978961945,107.0,133.0,148.0,133.43600463867188,0.0002555975973705,0.3500370388188794,-0.0005990388227722225,5.412472432703408,,,0.0
0.4,0.0007886035810923,1.81846296546511,5.915039651801606,41.00247725762441,9.6849980764091e-05,0.6770130023360252,107.0,133.0,148.0,133.43600463867188,0.00021905655030341666,0.5051286015180861,-0.0007308209413416663,3.1018312539841326,,,0.0
0.45,0.0006567820939508,2.0269728720120805,5.526232973822653,41.00241023849868,0.0001068899873644,0.7043372988700867,107.0,133.0,148.0,133.43600463867188,0.00018243947054188888,0.5630480200033557,-0.0007323415952305557,1.1583883697053923,-0.0007145412022520189,,0.0
0.5,0.0005319627672887,1.9688721142311905,5.017520171512862,41.00236054839117,0.0001150899333879,0.7322819977998734,107.0,133.0,148.0,133.43600463867188,0.00014776743535797223,0.5469089206197751,-0.0006934407036783331,-0.3227819876716121,-0.0007500977356760859,,0.0
0.55,7.916239696068673e-05,1.7295322128948023,4.308473375636205,41.00233178960481,0.0001194399083033,0.7578397989273071,107.0,133.0,148.0,133.43600463867188,2.1989554711301868e-05,0.4804256146930006,-0.0025155576129334053,-1.3296661185354897,-0.000650483476239666,,0.0
0.6000000000000001,0.0001861313017392,1.387136416372912,3.3887869966741304,41.002319996758686,0.000121529912576,0.7791418991982937,107.0,133.0,148.0,133.43600463867188,5.1703139372e-05,0.3853156712146978,0.0005942716932139621,-1.9021988695660546,-0.0004563304919840095,,0.0
0.65,0.0002224513129324,1.00696340226384,2.4147393507707537,41.00231843508147,0.0001245499588549,0.7953073885291815,107.0,133.0,148.0,133.43600463867188,6.17920313701111e-05,0.27971205618440004,0.00020177783996222238,-2.112072300605958,-0.00025826668623843256,,0.0
0.7000000000000001,0.0002239618707676,0.6386228197041549,1.7017360550434149,41.00232099191992,0.0001276799011975,0.8062361981719732,107.0,133.0,148.0,133.43600463867188,6.221163076877778e-05,0.1773952276955986,8.391987973333408e-06,-2.046336569776027,-0.00013303765938158074,,0.0
0.75,0.0002062480831357,0.3157479828586211,1.2438332427412029,41.00232371378262,0.0001306899357587,0.8123877979815006,107.0,133.0,148.0,133.43600463867188,5.729113420436111e-05,0.08770777301628364,-9.840993128833349e-05,-1.7937490935863014,-9.419313620335953e-05,,0.0
0.8,0.0001797804926373,0.05750502296999,1.220994914852067,41.002324900265286,0.0001333199907094,0.8145665992051363,107.0,133.0,148.0,133.43600463867188,4.993902573258333e-05,0.01597361749166389,-0.0001470421694355554,-1.4346831104923938,-0.0001065910320255809,,0.0
0.8500000000000001,0.000149708724765,0.1299309308164235,1.1079746739589125,41.00232443717953,0.000135609996505,0.8153951987624168,107.0,133.0,148.0,133.43600463867188,4.1585756879166664e-05,0.03609192522678431,-0.00016706537706833322,0.40236615470240805,-0.00013056105616308518,,0.0
0.9,0.000119876767435,0.2480891869571828,0.9509372961081196,41.002322966294365,0.0001375199062749,0.8182500991970301,107.0,133.0,148.0,133.43600463867188,3.329910206527778e-05,0.06891366304366188,-0.0001657330962777779,0.6564347563375522,-0.00014406711875799408,,0.0
0.95,9.91422094541627e-05,0.3060027106067041,0.7788402799675821,41.002321243335146,0.0001389699755236,0.8222384992986917,107.0,133.0,148.0,133.43600463867188,2.7539502626156304e-05,0.08500075294630668,-0.00011519198878242966,0.32174179805289654,-0.00013928464064237315,,0.0
1.0,3.377990323001922e-05,0.3157817409178542,0.6135312426362485,41.0023197971345,0.0001389699755236,0.8266194993630052,107.0,133.0,148.0,133.43600463867188,9.383306452783116e-06,0.0877171502549595,-0.00036312392346746344,0.05432794617305637,-0.00011622061287906503,,0.0
1.05,4.57263007552909e-05,0.2907933096774358,0.4696573523145118,41.00231884767846,0.0001389699755236,0.8308338299393654,107.0,133.0,148.0,133.43600463867188,1.2701750209803028e-05,0.08077591935484327,6.636887514039819e-05,-0.13882461800232465,-8.250742938620761e-05,,0.0
1.1,4.88844126152918e-05,0.2439281747956329,0.3553365281567839,41.00231837368078,0.0001405299408361,0.8345057098194957,107.0,133.0,148.0,133.43600463867188,1.3579003504247722e-05,0.06775782633212024,1.7545065888893868e-05,-0.2603618604544603,-5.1014560187700273e-05,,0.0
1.15,4.723637146848112e-05,0.186433266810001,0.2732835146114,41.002318231238,0.0001405299408361,0.8374264996964484,107.0,133.0,148.0,133.43600463867188,1.312121429680031e-05,0.051787018558333606,-9.155784148948283e-06,-0.3194161554757338,-3.1828895216869365e-05,,0.0
1.2000000000000002,4.160688850830925e-05,0.1272837163623809,0.2221496042772227,41.0023182573148,0.0001416800078004,0.8395254646893591,107.0,133.0,148.0,133.43600463867188,1.1557469030085903e-05,0.035356587878439136,-3.1274905334287964e-05,-0.3286086135978876,-2.6158418531889904e-05,,0.0
1.25,3.714383428815755e-05,0.0729412804594487,0.1978689340373054,41.00231832807288,0.0001416800078004,0.8408359696622938,107.0,133.0,148.0,133.43600463867188,1.031773174671043e-05,0.020261466794291305,-2.4794745667509543e-05,-0.30190242168295767,-2.8659584129817715e-05,,0.0
1.3,3.020979886232144e-05,0.0274467359871494,0.1948631053390213,41.00231837657934,0.0001416800078004,0.8414610796608031,107.0,133.0,148.0,133.43600463867188,8.391610795089289e-06,0.007624093329763722,-3.8522419032422796e-05,-0.2527474692905514,-3.305589158348561e-05,,0.0
1.35,2.5540831838433492e-05,0.0072446889797028,0.1825944811553493,41.002318383451424,0.000143009936437,0.8415421396493912,107.0,133.0,148.0,133.43600463867188,7.09467551067597e-06,0.002012413605473,-2.5938705688266355e-05,-0.11223359448581434,-3.488994421949966e-05,,0.0
1.4,6.454619474578e-06,0.0308580269590826,0.1608713651555393,41.00231835769797,0.000143009936437,0.8418509396724403,107.0,133.0,148.0,133.43600463867188,1.7929498540494445e-06,0.008571674155300722,-0.00010603451313253089,0.1311852109965549,-3.1947450104652474e-05,,0.0
1.4500000000000002,9.408164379964912e-06,0.0,0.1302710940948688,41.00231835769797,0.000143009936437,0.8418509396724403,107.0,133.0,148.0,133.43600463867188,2.613378994434698e-06,0.0,1.640858280770498e-05,-0.17143348310601353,-2.46689980636168e-05,,1.0052301728637537e-06
1.5,5.638174818915344e-06,0.0,0.0986929200030834,41.00231835769797,0.000143009936437,0.8418509396724403,107.0,133.0,148.0,133.43600463867188,1.5661596719209288e-06,0.0,-2.0944386450275455e-05,0.0,0.00038636479423188836,,1.003133545771901e-06
1.55,7.2108869957756e-06,0.0,0.0696135890353398,41.00231835769797,0.000143009936437,0.8418509396724403,107.0,133.0,148.0,133.43600463867188,2.0030241654932222e-06,0.0,8.73728987144586e-06,0.0,0.002944775016926569,,1.00400805438389e-06
