Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Lead Speed (m/s),Ego Accel (m/s²),Lead Accel (m/s²),Smooth Accel (m/s²),Jerk (m/s³) (1 Hz),RSS Distance (m)
0.0,0.0012415706956652,10.584000205993652,10.584000205993652,41.00303666113396,0.0,0.0,107.0,133.0,148.0,133.43600463867188,0.00034488074879588884,2.940000057220459,,,,,0.0
0.05,0.0055130047451496,10.747439861297607,10.66572003364563,41.002411378446574,6.560992915183306e-05,0.1553902924060821,107.0,133.0,148.0,133.43600463867188,0.001531390206986,2.9853999614715576,0.02373018916380222,0.9079980850219727,,,0.0
0.1,0.0026112372403861,0.4725036263470339,7.267981231212764,41.002405322343854,8.914992213249207e-05,0.1583026945590973,107.0,133.0,148.0,133.43600463867188,0.0007253436778850278,0.13125100731862052,-0.016120930582019445,-57.08297908305874,,,0.0
0.15,0.0052801927337782,0.6029030070651115,5.601711675175851,41.00239491668539,0.0001214999938383,0.1635440960526466,107.0,133.0,148.0,133.43600463867188,0.0014667202038272777,0.16747305751808653,0.014827530518845002,0.7244410039893202,,,0.0
0.2,0.0565191814353133,0.5632258025150031,4.594014500643682,41.001386524154974,0.0011226246608499,0.1684004962444305,107.0009994506836,133.0,148.0,133.43600463867188,0.01569977262092036,0.15645161180972308,0.28466104834186157,-0.22042891416726876,,,0.0
0.25,0.0121080601452813,0.5286909799040318,3.9164605805204062,41.00137862089253,0.0011638947073448,0.172926090657711,107.0009994506836,133.0,148.0,133.43600463867188,0.0033633500403559163,0.1468586055288977,-0.24672845161128895,-0.19186012561650762,,,0.0
0.3,0.0369573364445355,0.4962818233490479,3.427863615210213,40.99936530218059,0.0021640614601591,0.1772496170273041,107.0019989013672,133.0,147.99899291992188,133.43600463867188,0.01026592679014875,0.1378560620414022,0.1380515349958567,-0.18005086974991039,,,0.0
0.35,0.0047943620349181,0.465943304880566,3.0576235764190067,40.99935927290106,0.0021938214073697,0.1811467177143311,107.0019989013672,133.0,147.99899291992188,133.43600463867188,0.0013317672319216943,0.12942869580015723,-0.17868319116454115,-0.16854732482489923,,,0.0
0.4,0.0299565766273434,0.4376403689038391,2.766514331139544,40.99935402291741,0.0022218614346156,0.1847504182627415,107.0019989013672,133.0,147.99899291992188,133.43600463867188,0.008321271285373168,0.1215667691399553,0.13979008106902935,-0.15723853320403838,,,0.0
0.45,0.0058393647126692,0.4112547678511848,2.530988374810708,40.99934944585869,0.0022432214342797,0.1880781195035195,107.0019989013672,133.0,147.99899291992188,133.43600463867188,0.0016220457535192222,0.114237435514218,-0.13398451063707895,-0.14658667251474608,-0.0015845376966884261,,0.0
